ID	ORF	UniGeneHsID
222894_at	FERD3L	Hs.592168
222950_at	C7orf51	Hs.320086
222962_at	SLC29A4	Hs.4302
223_at	ALDH9A1	Hs.2533
2230_at	FDX1	Hs.744
223075_at	CCDC129	Hs.224269
223082_at	ZNRF2	Hs.487869
223117_at	SEMA3D	Hs.201340
2232_at	FDXR	Hs.69745
2235_at	FECH	Hs.365365
2237_at	FEN1	Hs.409065
2239_at	GPC4	Hs.58367
224_at	ALDH3A2	Hs.499886
2241_at	FER	Hs.221472
2242_at	FES	Hs.7636
2243_at	FGA	Hs.351593
2244_at	FGB	Hs.300774
2245_at	FGD1	Hs.709201
2246_at	FGF1	Hs.483635
2247_at	FGF2	Hs.284244
2248_at	FGF3	Hs.37092
2249_at	FGF4	Hs.1755
225_at	ABCD2	Hs.117852
2250_at	FGF5	Hs.37055
2251_at	FGF6	Hs.166015
2252_at	FGF7	Hs.567268
2253_at	FGF8	Hs.57710
2254_at	FGF9	Hs.111
2255_at	FGF10	Hs.664499
2256_at	FGF11	Hs.655193
225689_at	MAPK15	Hs.493169
2257_at	FGF12	Hs.584758
2258_at	FGF13	Hs.6540; Hs.711551
2259_at	FGF14	Hs.508616
226_at	ALDOA	Hs.513490
2260_at	FGFR1	Hs.264887
2261_at	FGFR3	Hs.1420
2262_at	GPC5	Hs.655675
2263_at	FGFR2	Hs.533683
2264_at	FGFR4	Hs.165950
2266_at	FGG	Hs.546255
2267_at	FGL1	Hs.491143
2268_at	FGR	Hs.1422
2271_at	FH	Hs.592490
2272_at	FHIT	Hs.715588; Hs.715597
2273_at	FHL1	Hs.435369
2274_at	FHL2	Hs.443687
2275_at	FHL3	Hs.57687
2277_at	FIGF	Hs.11392
22794_at	CASC3	Hs.719152
22795_at	NID2	Hs.369840
22796_at	COG2	Hs.211800
22797_at	TFEC	Hs.125962
22798_at	LAMB4	Hs.62022
2280_at	FKBP1A	Hs.471933; Hs.700839
22800_at	RRAS2	Hs.502004
22801_at	ITGA11	Hs.436416
22802_at	CLCA4	Hs.567422
22803_at	XRN2	Hs.255932
22806_at	IKZF3	Hs.444388
22807_at	IKZF2	Hs.604950
22808_at	MRAS	Hs.527021
22809_at	ATF5	Hs.9754
2281_at	FKBP1B	Hs.709461
22818_at	COPZ1	Hs.505652
22820_at	COPG	Hs.518250
22821_at	RASA3	Hs.593075
22822_at	PHLDA1	Hs.602085
22823_at	MTF2	Hs.31016
22824_at	HSPA4L	Hs.135554
22826_at	DNAJC8	Hs.433540
22827_at	PUF60	Hs.521924
22828_at	RBM16	Hs.591329
22829_at	NLGN4Y	Hs.439199; Hs.694600
22832_at	KIAA1009	Hs.485865
22834_at	ZNF652	Hs.463375
22835_at	ZFP30	Hs.716719
22836_at	RHOBTB3	Hs.445030
22837_at	COBLL1	Hs.470457
22838_at	RNF44	Hs.434888
22839_at	DLGAP4	Hs.249600
22841_at	RAB11FIP2	Hs.173656
22843_at	PPM1E	Hs.245044
22844_at	FRMPD1	Hs.163990
22845_at	DOLK	Hs.531563
22846_at	VASH1	Hs.525479
22847_at	ZNF507	Hs.205392
22848_at	AAK1	Hs.468878
22849_at	CPEB3	Hs.131683
22850_at	ADNP2	Hs.131915
22852_at	ANKRD26	Hs.361041
22853_at	LMTK2	Hs.444179
22854_at	NTNG1	Hs.657434
22856_at	CHSY1	Hs.110488
22858_at	ICK	Hs.417022
22859_at	LPHN1	Hs.654658
2286_at	FKBP2	Hs.227729
22861_at	NLRP1	Hs.652273
22862_at	FNDC3A	Hs.508010
22863_at	KIAA0831	Hs.414809
22864_at	R3HDM2	Hs.443673
22865_at	SLITRK3	Hs.101745
22866_at	CNKSR2	Hs.555917
22868_at	FASTKD2	Hs.5930
22869_at	ZNF510	Hs.75264
2287_at	FKBP3	Hs.509226
22870_at	SAPS1	Hs.515610
22871_at	NLGN1	Hs.478289
22872_at	SEC31A	Hs.370024
22873_at	DZIP1	Hs.656580
22874_at	PLEKHA6	Hs.253146
22875_at	ENPP4	Hs.643497
22876_at	INPP5F	Hs.369755
22877_at	MLXIP	Hs.437153
22878_at	KIAA1012	Hs.202001
22879_at	MON1B	Hs.513743
2288_at	FKBP4	Hs.524183; Hs.713721
22880_at	MORC2	Hs.555918
22881_at	ANKRD6	Hs.702213
22882_at	ZHX2	Hs.658443; Hs.719079
22883_at	CLSTN1	Hs.29665
22884_at	WDR37	Hs.188495
22885_at	ABLIM3	Hs.49688
22887_at	FOXJ3	Hs.26023
22888_at	UBOX5	Hs.654646
22889_at	KIAA0907	Hs.719258
2289_at	FKBP5	Hs.407190
22890_at	ZBTB1	Hs.655536
22891_at	ZNF365	Hs.22653
22893_at	BAHD1	Hs.22109
22894_at	DIS3	Hs.643464
22897_at	CEP164	Hs.504009
22898_at	DENND3	Hs.18166
22899_at	ARHGEF15	Hs.443109
229_at	ALDOB	Hs.530274
2290_at	FOXG1	Hs.695962; Hs.708841
22900_at	CARD8	Hs.446146; Hs.655940
22901_at	ARSG	Hs.437249
22902_at	RUFY3	Hs.713172
22903_at	BTBD3	Hs.709366
22904_at	SBNO2	Hs.408708
22905_at	EPN2	Hs.715517
22906_at	TRAK1	Hs.535711
22907_at	DHX30	Hs.517948
22908_at	SACM1L	Hs.156509
22909_at	MTMR15	Hs.584863
22911_at	WDR47	Hs.654760
22913_at	RALY	Hs.136947
22914_at	KLRK1	Hs.387787
22915_at	MMRN1	Hs.268107
22916_at	NCBP2	Hs.591671
22917_at	ZP1	Hs.172130
22918_at	CD93	Hs.97199
22919_at	MAPRE1	Hs.472437
22920_at	KIFAP3	Hs.433442
22921_at	MSRB2	Hs.461420
22924_at	MAPRE3	Hs.515860
22925_at	PLA2R1	Hs.410477
22926_at	ATF6	Hs.492740
22927_at	HABP4	Hs.494567
22928_at	SEPHS2	Hs.718460
22929_at	SEPHS1	Hs.124027
22930_at	RAB3GAP1	Hs.306327
22931_at	RAB18	Hs.406799
22933_at	SIRT2	Hs.466693
22934_at	RPIA	Hs.469264
22936_at	ELL2	Hs.192221; Hs.708710
22937_at	SCAP	Hs.531789
22938_at	SNW1	Hs.445498
2294_at	FOXF1	Hs.155591
22941_at	SHANK2	Hs.268726
22943_at	DKK1	Hs.40499
22944_at	KIN	Hs.397918
22948_at	CCT5	Hs.1600
22949_at	PTGR1	Hs.584864
2295_at	FOXF2	Hs.484423
22950_at	SLC4A1AP	Hs.306000
22953_at	P2RX2	Hs.258580
22954_at	TRIM32	Hs.591910
22955_at	SCMH1	Hs.571874
2296_at	FOXC1	Hs.348883
2297_at	FOXD1	Hs.519385
22974_at	TPX2	Hs.708960; Hs.719145
22976_at	PAXIP1	Hs.443881
22977_at	AKR7A3	Hs.6980
22978_at	NT5C2	Hs.97439
22980_at	TCF25	Hs.415342
22981_at	NINL	Hs.696157
22982_at	DIP2C	Hs.432397
22983_at	MAST1	Hs.227489
22984_at	PDCD11	Hs.239499
22985_at	ACIN1	Hs.124490
22986_at	SORCS3	Hs.671950
22989_at	MYH15	Hs.716892
2299_at	FOXI1	Hs.87236
22990_at	PCNX	Hs.446559
22992_at	KDM2A	Hs.124147
22993_at	HMGXB3	Hs.719189
22994_at	AZI1	Hs.514578
22995_at	CEP152	Hs.597323
22996_at	TTC39A	Hs.112949
22997_at	IGSF9B	Hs.204121
22998_at	LIMCH1	Hs.335163
22999_at	RIMS1	Hs.485729
23_at	ABCF1	Hs.655285
230_at	ALDOC	Hs.155247
2300_at	FOXL1	Hs.533830
23001_at	WDFY3	Hs.480116
23002_at	DAAM1	Hs.654934
23005_at	MAPKBP1	Hs.513661
23007_at	PLCH1	Hs.567423
23008_at	KLHDC10	Hs.520710
2301_at	FOXE3	Hs.112968
23011_at	RAB21	Hs.524590
23012_at	STK38L	Hs.184523
23013_at	SPEN	Hs.558463
23014_at	FBXO21	Hs.719089
23015_at	GOLGA8A	Hs.182982
23016_at	EXOSC7	Hs.476092
23017_at	FAIM2	Hs.567424
23019_at	CNOT1	Hs.460923; Hs.716474
2302_at	FOXJ1	Hs.651204
23020_at	SNRNP200	Hs.246112
23022_at	PALLD	Hs.151220
23023_at	TMCC1	Hs.477547; Hs.709936
23024_at	PDZRN3	Hs.719126
23025_at	UNC13A	Hs.164502
23026_at	MYO16	Hs.656587
23028_at	KDM1	Hs.591518; Hs.656420
23029_at	RBM34	Hs.535224
2303_at	FOXC2	Hs.436448
23030_at	KDM4B	Hs.654816
23031_at	MAST3	Hs.466184
23032_at	USP33	Hs.719202
23033_at	DOPEY1	Hs.520246; Hs.708998
23034_at	SAMD4A	Hs.98259
23035_at	PHLPP2	Hs.531564; Hs.709458
23036_at	ZNF292	Hs.485892; Hs.656621
23037_at	PDZD2	Hs.481819
23038_at	WDTC1	Hs.469154
23039_at	XPO7	Hs.172685
2304_at	FOXE1	Hs.159234
23040_at	MYT1L	Hs.434418; Hs.669852
23041_at	MON2	Hs.389378
23042_at	PDXDC1	Hs.370781
23043_at	TNIK	Hs.34024
23046_at	KIF21B	Hs.169182
23047_at	PDS5B	Hs.716441
23048_at	FNBP1	Hs.189409
23049_at	SMG1	Hs.460179; Hs.552700
2305_at	FOXM1	Hs.239
23051_at	ZHX3	Hs.380133
23052_at	ENDOD1	Hs.167115
23053_at	KIAA0913	Hs.65135
23054_at	NCOA6	Hs.368971
23057_at	NMNAT2	Hs.497123
23059_at	CLUAP1	Hs.155995
2306_at	FOXD2	Hs.166188
23060_at	ZNF609	Hs.595451; Hs.696256; Hs.719276
23061_at	TBC1D9B	Hs.155829
23062_at	GGA2	Hs.460336
23063_at	WAPAL	Hs.203099; Hs.714876
23064_at	SETX	Hs.460317
23065_at	KIAA0090	Hs.439200
23066_at	CAND2	Hs.343664
23067_at	SETD1B	Hs.507122
2307_at	FOXS1	Hs.516971
23070_at	FTSJD2	Hs.520102
23071_at	ERP44	Hs.154023
23072_at	HECW1	Hs.164453
23074_at	UHRF1BP1L	Hs.620701
23075_at	SWAP70	Hs.153026
23076_at	RRP1B	Hs.654727
23077_at	MYCBP2	Hs.591221
23078_at	KIAA0564	Hs.368282
2308_at	FOXO1	Hs.370666
23080_at	AVL9	Hs.128056
23081_at	KDM4C	Hs.709425
23082_at	PPRC1	Hs.533551
23085_at	ERC1	Hs.655744; Hs.658200
23086_at	EXPH5	Hs.28540
23087_at	TRIM35	Hs.104223
23089_at	PEG10	Hs.147492
2309_at	FOXO3	Hs.220950
23090_at	ZNF423	Hs.530930
23091_at	ZC3H13	Hs.136102
23092_at	ARHGAP26	Hs.654668
23093_at	TTLL5	Hs.709609
23094_at	SIPA1L3	Hs.655502
23095_at	KIF1B	Hs.97858
23096_at	IQSEC2	Hs.496138
23097_at	CDC2L6	Hs.719138
23098_at	SARM1	Hs.446689; Hs.719354
23099_at	ZBTB43	Hs.355581; Hs.718657
231_at	AKR1B1	Hs.521212
23101_at	MCF2L2	Hs.208267
23102_at	TBC1D2B	Hs.719242
23105_at	FSTL4	Hs.483390
23107_at	MRPS27	Hs.482491
23108_at	GARNL4	Hs.499659
23109_at	DDN	Hs.591044
23111_at	SPG20	Hs.440414
23112_at	TNRC6B	Hs.372082
23113_at	CUL9	Hs.485434
23114_at	NFASC	Hs.13349
23116_at	FAM179B	Hs.371078
23118_at	MAP3K7IP2	Hs.269775
23119_at	HIC2	Hs.632767
2312_at	FLG	Hs.654510
23120_at	ATP10B	Hs.109358
23122_at	CLASP2	Hs.108614
23125_at	CAMTA2	Hs.632242
23126_at	POGZ	Hs.489873
23127_at	GLT25D2	Hs.387995
23129_at	PLXND1	Hs.301685
2313_at	FLI1	Hs.504281
23130_at	ATG2A	Hs.370671
23131_at	GPATCH8	Hs.463129
23132_at	RAD54L2	Hs.105399
23133_at	PHF8	Hs.133352
23135_at	KDM6B	Hs.223678
23136_at	EPB41L3	Hs.213394
23137_at	SMC5	Hs.534189; Hs.601181
23138_at	N4BP3	Hs.101761
23139_at	MAST2	Hs.319481
2314_at	FLII	Hs.513984
23140_at	ZZEF1	Hs.277624
23141_at	ANKLE2	Hs.654628
23142_at	DCUN1D4	Hs.605388
23143_at	LRCH1	Hs.507971; Hs.595310; Hs.656722; Hs.681314
23144_at	ZC3H3	Hs.521915
23145_at	SSPO	Hs.632022
23148_at	NACAD	Hs.96633
23149_at	FCHO1	Hs.96485
2315_at	MLANA	Hs.154069
23150_at	FRMD4B	Hs.709671
23151_at	GRAMD4	Hs.475150
23152_at	CIC	Hs.388236
23154_at	NCDN	Hs.121870
23155_at	CLCC1	Hs.658489
23157_at	Sep-06	Hs.496666
23158_at	TBC1D9	Hs.480819
2316_at	FLNA	Hs.195464
23160_at	WDR43	Hs.622982; Hs.709228
23161_at	SNX13	Hs.487648
23162_at	MAPK8IP3	Hs.207763
23163_at	GGA3	Hs.87726
23164_at	MPRIP	Hs.462341
23165_at	NUP205	Hs.632299
23166_at	STAB1	Hs.301989
23167_at	EFR3A	Hs.204564
23168_at	RTF1	Hs.511096
23169_at	SLC35D1	Hs.213642
2317_at	FLNB	Hs.476448
23170_at	TTLL12	Hs.517670
23171_at	GPD1L	Hs.82432
23172_at	FAM175B	Hs.280695
23173_at	METAP1	Hs.480364
23174_at	ZCCHC14	Hs.156231
23175_at	LPIN1	Hs.467740
23176_at	Sep-08	Hs.522057
23177_at	CEP68	Hs.709257
23178_at	PASK	Hs.397891
23179_at	RGL1	Hs.497148
2318_at	FLNC	Hs.58414
23180_at	RFTN1	Hs.98910
23181_at	DIP2A	Hs.189585
23184_at	MESDC2	Hs.578450
23185_at	LARP4B	Hs.681734; Hs.713649
23186_at	RCOR1	Hs.510521
23187_at	PHLDB1	Hs.504062
23189_at	KANK1	Hs.306764
2319_at	FLOT2	Hs.514038
23190_at	UBXN4	Hs.591242
23191_at	CYFIP1	Hs.26704
23192_at	ATG4B	Hs.283610
23193_at	GANAB	Hs.595071
23194_at	FBXL7	Hs.433057
23195_at	MDN1	Hs.529948
23196_at	FAM120A	Hs.372003; Hs.707324
23197_at	FAF2	Hs.484242
23198_at	PSME4	Hs.413801
23199_at	KIAA0182	Hs.461647
23200_at	ATP11B	Hs.478429
23203_at	PMPCA	Hs.495471
23204_at	ARL6IP1	Hs.634882
23205_at	ACSBG1	Hs.655760
23207_at	PLEKHM2	Hs.646775
23208_at	SYT11	Hs.32984
23209_at	MLC1	Hs.517729
23210_at	JMJD6	Hs.514505
23211_at	ZC3H4	Hs.104661
23212_at	RRS1	Hs.71827
23213_at	SULF1	Hs.409602
23214_at	XPO6	Hs.460468
23215_at	BAT2D1	Hs.494614
23216_at	TBC1D1	Hs.176503
23217_at	ZFR2	Hs.65750
23218_at	NBEAL2	Hs.437043
23219_at	FBXO28	Hs.64691; Hs.713992
2322_at	FLT3	Hs.507590
23220_at	DTX4	Hs.523696
23221_at	RHOBTB2	Hs.372688
23223_at	RRP12	Hs.434251
23224_at	SYNE2	Hs.525392
23225_at	NUP210	Hs.475525
23228_at	PLCL2	Hs.202010
23229_at	ARHGEF9	Hs.54697
2323_at	FLT3LG	Hs.428
23230_at	VPS13A	Hs.459790; Hs.662256
23231_at	KIAA0746	Hs.479384
23232_at	TBC1D12	Hs.500598
23235_at	SIK2	Hs.269128
23236_at	PLCB1	Hs.431173
23237_at	ARC	Hs.40888
23239_at	PHLPP1	Hs.465337
2324_at	FLT4	Hs.646917
23240_at	KIAA0922	Hs.205572
23241_at	PACS2	Hs.525626
23242_at	COBL	Hs.99141
23243_at	ANKRD28	Hs.335239
23244_at	PDS5A	Hs.331431
23245_at	ASTN2	Hs.601562
23247_at	KIAA0556	Hs.460459
23248_at	RPRD2	Hs.213666
23250_at	ATP11A	Hs.29189
23251_at	KIAA1024	Hs.301654
23252_at	OTUD3	Hs.374987
23253_at	ANKRD12	Hs.464585
23254_at	RP1-21O18.1	Hs.368823
23256_at	SCFD1	Hs.369168
23258_at	DENND5A	Hs.501857
2326_at	FMO1	Hs.1424
23261_at	CAMTA1	Hs.397705
23262_at	HISPPD1	Hs.212046
23263_at	MCF2L	Hs.170422; Hs.597691
23264_at	ZC3H7B	Hs.592188
23265_at	EXOC7	Hs.514496
23266_at	LPHN2	Hs.24212
23268_at	DNMBP	Hs.500771
23269_at	MGA	Hs.187569
2327_at	FMO2	Hs.144912
23270_at	TSPYL4	Hs.284141
23271_at	CAMSAP1L1	Hs.23585
23272_at	C3orf63	Hs.116877
23274_at	CLEC16A	Hs.35490
23275_at	POFUT2	Hs.592164
23276_at	KLHL18	Hs.517946
23277_at	KIAA0664	Hs.22616
23279_at	NUP160	Hs.643526
2328_at	FMO3	Hs.445350
23281_at	KIAA0774	Hs.22287
23283_at	CSTF2T	Hs.591358
23284_at	LPHN3	Hs.28391; Hs.694758
23286_at	WWC1	Hs.484047
23287_at	AGTPBP1	Hs.494321
23288_at	IQCE	Hs.520627
2329_at	FMO4	Hs.386502
23291_at	FBXW11	Hs.484138
23293_at	SMG6	Hs.448342
23294_at	ANKS1A	Hs.656492
23295_at	MGRN1	Hs.526494
23299_at	BICD2	Hs.436939
2330_at	FMO5	Hs.642706; Hs.719397
23300_at	ATMIN	Hs.16349; Hs.589959
23301_at	EHBP1	Hs.271667
23302_at	WSCD1	Hs.370166
23303_at	KIF13B	Hs.444767
23304_at	UBR2	Hs.529925
23305_at	ACSL6	Hs.14945
23306_at	TMEM194A	Hs.591040; Hs.707911
23307_at	FKBP15	Hs.522351
23308_at	ICOSLG	Hs.14155
23309_at	SIN3B	Hs.13999
2331_at	FMOD	Hs.519168
23310_at	NCAPD3	Hs.438550
23312_at	DMXL2	Hs.511386
23313_at	C22orf9	Hs.592207
23314_at	SATB2	Hs.516617
23315_at	SLC9A8	Hs.444202
23316_at	CUX2	Hs.124953
23317_at	DNAJC13	Hs.12707
23318_at	ZCCHC11	Hs.655407
2332_at	FMR1	Hs.103183
23321_at	TRIM2	Hs.435711
23322_at	RPGRIP1L	Hs.298382
23324_at	MAN2B2	Hs.188464
23325_at	KIAA1033	Hs.12144
23326_at	USP22	Hs.462492
23327_at	NEDD4L	Hs.185677
23328_at	SASH1	Hs.193133
23329_at	TBC1D30	Hs.192492
23331_at	TTC28	Hs.387856; Hs.719265
23332_at	CLASP1	Hs.469840; Hs.708183
23333_at	DPY19L1	Hs.408623
23334_at	KIAA0467	Hs.643560
23335_at	WDR7	Hs.465213
23336_at	SYNM	Hs.207106
23338_at	PHF15	Hs.483419
23339_at	VPS39	Hs.88025
2334_at	AFF2	Hs.496911
23341_at	DNAJC16	Hs.655410
23344_at	ESYT1	Hs.632729
23345_at	SYNE1	Hs.12967
23347_at	SMCHD1	Hs.8118
23348_at	DOCK9	Hs.596105
23349_at	KIAA1045	Hs.7989
2335_at	FN1	Hs.203717
23350_at	SR140	Hs.596572
23351_at	KIAA0323	Hs.713590
23352_at	UBR4	Hs.148078; Hs.649405
23353_at	UNC84A	Hs.438072
23354_at	HAUS5	Hs.7426
23355_at	VPS8	Hs.269263
23357_at	ANGEL1	Hs.497448
23358_at	USP24	Hs.477009
23360_at	FNBP4	Hs.6834
23361_at	ZNF629	Hs.301094
23362_at	PSD3	Hs.434255
23363_at	OBSL1	Hs.526594
23365_at	ARHGEF12	Hs.24598
23366_at	KIAA0895	Hs.6224
23367_at	LARP1	Hs.292078
23368_at	PPP1R13B	Hs.709297
23369_at	PUM2	Hs.467824
23370_at	ARHGEF18	Hs.465761
23371_at	TENC1	Hs.343334; Hs.6147
23373_at	CRTC1	Hs.371096
23376_at	KIAA0776	Hs.149367
23378_at	RRP8	Hs.652255
23379_at	KIAA0947	Hs.449296
23380_at	SRGAP2	Hs.497575
23381_at	SMG5	Hs.516837
23382_at	AHCYL2	Hs.600789
23383_at	KIAA0892	Hs.654939; Hs.713004
23384_at	CYTSA	Hs.474384
23385_at	NCSTN	Hs.517249
23386_at	NUDCD3	Hs.488171
23387_at	QSK	Hs.167451
23389_at	MED13L	Hs.603766; Hs.715095
2339_at	FNTA	Hs.370312
23390_at	ZDHHC17	Hs.4014
23392_at	KIAA0368	Hs.368255
23394_at	ADNP	Hs.570355
23395_at	LARS2	Hs.526975
23396_at	PIP5K1C	Hs.282177
23397_at	NCAPH	Hs.308045
23398_at	PPWD1	Hs.121432
23399_at	DULLARD	Hs.513913
23400_at	ATP13A2	Hs.128866
23401_at	FRAT2	Hs.140720
23403_at	FBXO46	Hs.128702
23404_at	EXOSC2	Hs.654643
23405_at	DICER1	Hs.87889
23406_at	COTL1	Hs.289092
23408_at	SIRT5	Hs.567431; Hs.594133
23409_at	SIRT4	Hs.50861
23410_at	SIRT3	Hs.716456
23411_at	SIRT1	Hs.369779
23412_at	COMMD3	Hs.534398
23413_at	FREQ	Hs.642946; Hs.714951
23414_at	ZFPM2	Hs.431009
23415_at	KCNH4	Hs.304081
23416_at	KCNH3	Hs.64064
23417_at	MLYCD	Hs.644610
23418_at	CRB1	Hs.126135
2342_at	FNTB	Hs.632345
23421_at	ITGB3BP	Hs.166539
23423_at	TMED3	Hs.513058
23424_at	TDRD7	Hs.193842
23426_at	GRIP1	Hs.505946
23428_at	SLC7A8	Hs.632348
23429_at	RYBP	Hs.7910
23430_at	TPSD1	Hs.677789
23431_at	AP4E1	Hs.413366
23432_at	GPR161	Hs.271809; Hs.632453
23433_at	RHOQ	Hs.709193
23434_at	C3orf27	Hs.194283
23436_at	CELA3B	Hs.181289
23438_at	HARS2	Hs.432560
23439_at	ATP1B4	Hs.662608
23440_at	OTP	Hs.202247
23443_at	SLC35A3	Hs.448979
23446_at	SLC44A1	Hs.573495
23450_at	SF3B3	Hs.514435
23451_at	SF3B1	Hs.632554
23452_at	ANGPTL2	Hs.653262
23456_at	ABCB10	Hs.17614
23457_at	ABCB9	Hs.511951
2346_at	FOLH1	Hs.654487
23460_at	ABCA6	Hs.709514
23461_at	ABCA5	Hs.421474
23462_at	HEY1	Hs.234434
23463_at	ICMT	Hs.515688; Hs.716549
23464_at	GCAT	Hs.54609
23466_at	CBX6	Hs.592201
23467_at	NPTXR	Hs.91622
23468_at	CBX5	Hs.349283
23469_at	PHF3	Hs.348921
23471_at	TRAM1	Hs.491988
23473_at	CAPN7	Hs.631920
23474_at	ETHE1	Hs.7486
23475_at	QPRT	Hs.513484
23476_at	BRD4	Hs.187763
23478_at	SEC11A	Hs.9534
23479_at	ISCU	Hs.615131
2348_at	FOLR1	Hs.73769
23480_at	SEC61G	Hs.488282
23481_at	PES1	Hs.517543
23483_at	TGDS	Hs.12393
23484_at	LEPROTL1	Hs.146585
23491_at	CES3	Hs.268700
23492_at	CBX7	Hs.356416
23493_at	HEY2	Hs.144287
23495_at	TNFRSF13B	Hs.158341
23498_at	HAAO	Hs.368805
23499_at	MACF1	Hs.580782
2350_at	FOLR2	Hs.433159
23500_at	DAAM2	Hs.357128
23503_at	ZFYVE26	Hs.98041
23504_at	RIMBP2	Hs.657441
23505_at	TMEM131	Hs.469376
23506_at	KIAA0240	Hs.658033
23508_at	TTC9	Hs.79170
23509_at	POFUT1	Hs.472409
23510_at	KCTD2	Hs.514468
23511_at	NUP188	Hs.308340
23512_at	SUZ12	Hs.462732
23513_at	SCRIB	Hs.436329
23514_at	KIAA0146	Hs.381058
23515_at	MORC3	Hs.421150
23516_at	SLC39A14	Hs.491232
23517_at	SKIV2L2	Hs.274531
23518_at	R3HDM1	Hs.412462
23519_at	ANP32D	Hs.532658
2352_at	FOLR3	Hs.352
23520_at	ANP32C	Hs.661161
23521_at	RPL13A	Hs.523185
23522_at	MYST4	Hs.35758; Hs.599543
23523_at	CABIN1	Hs.517478
23524_at	SRRM2	Hs.433343; Hs.719123
23526_at	HMHA1	Hs.465521
23527_at	ACAP2	Hs.593373
23528_at	ZNF281	Hs.59757
23529_at	CLCF1	Hs.502977
2353_at	FOS	Hs.707896
23530_at	NNT	Hs.482043
23531_at	MMD	Hs.463483; Hs.656753
23532_at	PRAME	Hs.30743
23533_at	PIK3R5	Hs.278901
23534_at	TNPO3	Hs.193613
23536_at	ADAT1	Hs.188661
23538_at	OR52A1	Hs.553520
23539_at	SLC16A8	Hs.270285
2354_at	FOSB	Hs.590958
23541_at	SEC14L2	Hs.335614
23542_at	MAPK8IP2	Hs.558180
23543_at	RBM9	Hs.282998
23544_at	SEZ6L	Hs.194766
23545_at	ATP6V0A2	Hs.201939; Hs.25786
23546_at	SYNGR4	Hs.408333
23547_at	LILRA4	Hs.406708
23548_at	TTC33	Hs.348915; Hs.621357
23549_at	DNPEP	Hs.258551
2355_at	FOSL2	Hs.220971; Hs.596972
23550_at	PSD4	Hs.516306
23551_at	RASD2	Hs.474711
23552_at	CCRK	Hs.522274
23553_at	HYAL4	Hs.28673
23554_at	TSPAN12	Hs.16529
23555_at	TSPAN15	Hs.499941
23556_at	PIGN	Hs.157031
23557_at	SNAPIN	Hs.32018
23558_at	WBP2	Hs.514489
23559_at	WBP1	Hs.516114
2356_at	FPGS	Hs.335084
23560_at	GTPBP4	Hs.215766
23562_at	CLDN14	Hs.660278
23563_at	CHST5	Hs.156784; Hs.710689
23564_at	DDAH2	Hs.247362
23566_at	LPAR3	Hs.674915
23567_at	ZNF346	Hs.484259
23568_at	ARL2BP	Hs.632873; Hs.645184
23569_at	PADI4	Hs.522969
2357_at	FPR1	Hs.753
23576_at	DDAH1	Hs.379858
2358_at	FPR2	Hs.99855
23580_at	CDC42EP4	Hs.3903
23581_at	CASP14	Hs.466057
23582_at	CCNDBP1	Hs.36794; Hs.368642; Hs.688009
23583_at	SMUG1	Hs.632721
23584_at	VSIG2	Hs.112377
23585_at	TMEM50A	Hs.523054
23586_at	DDX58	Hs.190622
23587_at	C17orf81	Hs.417029
23588_at	KLHDC2	Hs.719215
23589_at	CARHSP1	Hs.632184
2359_at	FPR3	Hs.445466
23590_at	PDSS1	Hs.558468
23591_at	C17orf88	Hs.646580
23592_at	LEMD3	Hs.718513
23593_at	HEBP2	Hs.486589
23594_at	ORC6L	Hs.49760
23595_at	ORC3L	Hs.410228
23596_at	OPN3	Hs.409081; Hs.719236
23597_at	ACOT9	Hs.298885
23598_at	PATZ1	Hs.517557
23600_at	AMACR	Hs.508343
23601_at	CLEC5A	Hs.446235
23603_at	CORO1C	Hs.330384
23604_at	DAPK2	Hs.237886
23607_at	CD2AP	Hs.485518
23608_at	MKRN1	Hs.490347
23609_at	MKRN2	Hs.591666
23612_at	PHLDA3	Hs.268557
23613_at	ZMYND8	Hs.446240; Hs.658553; Hs.668465
23614_at	PPY2	Hs.20588
23615_at	PYY2	Hs.157195
23616_at	SH3BP1	Hs.601143
23617_at	TSSK2	Hs.694070
23619_at	ZIM2	Hs.719209
23620_at	NTSR2	Hs.131138
23621_at	BACE1	Hs.504003
23623_at	RUSC1	Hs.226499
23624_at	CBLC	Hs.466907
23625_at	FAM89B	Hs.25723
23626_at	SPO11	Hs.159737
23627_at	PRND	Hs.406696
23630_at	KCNE1L	Hs.522753
23632_at	CA14	Hs.528988
23633_at	KPNA6	Hs.470588; Hs.711019
23635_at	SSBP2	Hs.102735
23636_at	NUP62	Hs.574492
23637_at	RABGAP1	Hs.271341
23639_at	LRRC6	Hs.591865
23640_at	HSPBP1	Hs.53066
23641_at	LDOC1	Hs.45231
23642_at	SNHG1	Hs.655643
23643_at	LY96	Hs.660766
23644_at	EDC4	Hs.75682
23645_at	PPP1R15A	Hs.631593
23646_at	PLD3	Hs.257008
23647_at	ARFIP2	Hs.75139
23648_at	SSBP3	Hs.658676
23649_at	POLA2	Hs.201897
23650_at	TRIM29	Hs.504115
23654_at	PLXNB2	Hs.3989
23657_at	SLC7A11	Hs.390594
23658_at	LSM5	Hs.424908
23659_at	PLA2G15	Hs.632199
23660_at	ZKSCAN5	Hs.110839
23670_at	TMEM2	Hs.494146
23671_at	TMEFF2	Hs.144513
23673_at	STX12	Hs.523855
23676_at	SMPX	Hs.86492
