ID	ORF	UniGeneHsID
100130449_at	PP14571	Hs.655753
100130452_at	LOC100130452	Hs.591625
100130458_at	LOC100130458	Hs.571600
100130464_at	NA	NA
100130494_at	LOC100130494	NA
100130502_at	LOC100130502	Hs.436392
100130503_at	LOC100130503	NA
100130536_at	NA	NA
100130541_at	NA	NA
100130544_at	NA	NA
100130548_at	LOC100130548	Hs.671096
100130557_at	LOC100130557	Hs.233458
100130598_at	NA	NA
100130609_at	PP12708	Hs.684470
100130613_at	CXorf64	Hs.130370
100130624_at	RPL15P22	NA
100130633_at	LOC100130633	NA
100130672_at	NA	NA
100130700_at	LOC100130700	Hs.97712
100130703_at	NA	NA
100130733_at	LRRC70	Hs.482269
100130740_at	LOC100130740	Hs.660088
100130744_at	LOC100130744	Hs.660550
100130776_at	hCG_2014417	Hs.656080
100130797_at	LOC100130797	Hs.711049
100130816_at	NA	NA
100130840_at	LOC100130840	NA
100130862_at	NA	NA
100130868_at	NA	NA
100130885_at	NA	NA
100130905_at	LOC100130905	Hs.712763
100130938_at	LOC100130938	Hs.710069
100130958_at	LOC100130958	Hs.635157
100130964_at	LOC100130964	Hs.181129
100130967_at	LOC100130967	NA
100130979_at	NA	NA
100130992_at	LOC100130992	NA
100130998_at	LOC100130998	Hs.692393
100131005_at	NA	NA
100131014_at	LOC100131014	NA
100131015_at	LOC100131015	Hs.657033
100131017_at	ZNF316	Hs.112668
100131040_at	NA	NA
100131056_at	NA	NA
100131081_at	NA	NA
100131093_at	NA	NA
100131096_at	LOC100131096	Hs.635442; Hs.710226
100131110_at	NA	NA
100131112_at	LOC100131112	Hs.490892
100131138_at	LOC100131138	Hs.152129
100131141_at	LOC100131141	NA
100131164_at	NA	NA
100131177_at	NA	NA
100131187_at	TSTD1	Hs.517293
100131211_at	TMEM194B	Hs.659824
100131213_at	C10orf41	Hs.534598; Hs.599628
100131226_at	NA	NA
100131227_at	GAFA1	Hs.713290
100131283_at	LOC100131283	Hs.664979
100131298_at	LOC100131298	Hs.621363
100131311_at	LOC100131311	Hs.632486
100131345_at	NA	NA
100131347_at	LOC100131347	NA
100131354_at	LOC100131354	Hs.675317
100131366_at	LOC100131366	Hs.147881
100131402_at	NA	NA
100131413_at	NA	NA
100131414_at	LOC100131414	NA
100131435_at	LOC100131435	NA
100131455_at	LOC100131455	NA
100131480_at	LOC100131480	Hs.666361
100131498_at	NA	NA
100131512_at	LOC100131512	NA
100131556_at	LOC100131556	NA
100131561_at	FKSG29	NA
100131564_at	LOC100131564	Hs.648647
100131601_at	LOC100131601	Hs.479747; Hs.711220
100131613_at	LOC100131613	Hs.621361
100131637_at	NA	NA
100131642_at	LOC100131642	Hs.680766
100131644_at	NA	NA
100131662_at	LOC100131662	Hs.585935
100131664_at	NA	NA
100131683_at	LOC100131683	Hs.442702
100131721_at	LOC100131721	NA
100131728_at	NA	NA
100131731_at	NA	NA
100131733_at	LOC100131733	Hs.660996
100131801_at	LOC100131801	NA
100131816_at	UBE2DNL	Hs.460809
100131827_at	ZNF717	Hs.556877
100131864_at	LOC100131864	Hs.683883
100131869_at	LOC100131869	Hs.529989
100131904_at	NA	NA
100131914_at	NA	NA
100131952_at	NA	NA
100131989_at	NA	NA
100131998_at	LOC100131998	Hs.709576
100132051_at	LOC100132051	Hs.313142
100132078_at	LOC100132078	Hs.672662
100132129_at	NA	NA
100132178_at	LOC100132178	NA
100132234_at	LOC100132234	Hs.197435
100132279_at	NA	NA
100132299_at	NA	NA
100132302_at	NA	NA
100132319_at	LOC100132319	Hs.338851
100132323_at	NA	NA
100132341_at	C16orf67	NA
100132356_at	hCG_2039148	Hs.649468
100132369_at	LOC100132369	Hs.719460
100132386_at	KRTAP4-9	Hs.307018; Hs.711926
100132430_at	NA	NA
100132596_at	XGPY2	Hs.179675
100132618_at	LOC100132618	Hs.633083
100132625_at	LOC100132625	Hs.711757
100132634_at	NA	NA
100132661_at	LOC100132661	Hs.710925
100132707_at	LOC100132707	Hs.586358
100132739_at	NA	NA
100132767_at	LOC100132767	NA
100132833_at	NA	NA
100132884_at	LOC100132884	Hs.535040
100132894_at	NA	NA
100132903_at	NA	NA
100132911_at	DPH3B	NA
100133019_at	LOC100133019	Hs.713766
100133116_at	LOC100133116	NA
100133142_at	LOC100133142	NA
100133166_at	NA	NA
100133188_at	NA	NA
100133205_at	C6orf41	Hs.526951
100133229_at	NA	NA
100133233_at	NA	NA
100133236_at	NA	NA
100133276_at	NA	NA
100133311_at	LOC100133311	NA
100133332_at	NA	NA
10014_at	HDAC5	Hs.438782
10015_at	PDCD6IP	Hs.475896
10016_at	PDCD6	Hs.50823
10017_at	BCL2L10	Hs.283672
10018_at	BCL2L11	Hs.469658
10019_at	SH2B3	Hs.506784
1002_at	CDH4	Hs.473231; Hs.598638
10020_at	GNE	Hs.5920
10021_at	HCN4	Hs.86941
10022_at	INSL5	Hs.251380
10023_at	FRAT1	Hs.126057; Hs.715785
10024_at	TROAP	Hs.524399
10025_at	MED16	Hs.365207
10026_at	PIGK	Hs.178305
1003_at	CDH5	Hs.76206
10036_at	CHAF1A	Hs.79018
10038_at	PARP2	Hs.409412
10039_at	PARP3	Hs.271742
1004_at	CDH6	Hs.171054
10040_at	TOM1L1	Hs.153504
10042_at	HMGXB4	Hs.588815
10043_at	TOM1	Hs.474705
10044_at	SH2D3C	Hs.306412
10045_at	SH2D3A	Hs.439645
10046_at	MAMLD1	Hs.20136
10047_at	CST8	Hs.121602
10048_at	RANBP9	Hs.708182
10049_at	DNAJB6	Hs.593923; Hs.719116
1005_at	CDH7	Hs.657522
10050_at	SLC17A4	Hs.282931
10051_at	SMC4	Hs.58992
10052_at	GJC1	Hs.532593; Hs.712052
10053_at	AP1M2	Hs.18894
10054_at	UBA2	Hs.631580
10055_at	SAE1	Hs.515500
10056_at	FARSB	Hs.471452
10057_at	ABCC5	Hs.368563; Hs.719074
10058_at	ABCB6	Hs.107911
10059_at	DNM1L	Hs.556296
1006_at	CDH8	Hs.368322
10060_at	ABCC9	Hs.446050
10061_at	ABCF2	Hs.654958
10062_at	NR1H3	Hs.438863; Hs.513522
10066_at	SCAMP2	Hs.458917
10067_at	SCAMP3	Hs.200600
10068_at	IL18BP	Hs.591967
10069_at	RWDD2B	Hs.716643
1007_at	CDH9	Hs.272212
10071_at	MUC12	Hs.489355
10072_at	DPP3	Hs.502914
10073_at	SNUPN	Hs.21577
10075_at	HUWE1	Hs.136905
10076_at	PTPRU	Hs.19718
10077_at	TSPAN32	Hs.271954
10078_at	TSSC4	Hs.523424
10079_at	ATP9A	Hs.719117
1008_at	CDH10	Hs.92489
10081_at	PDCD7	Hs.458596
10082_at	GPC6	Hs.444329; Hs.615434
10083_at	USH1C	Hs.502072
10084_at	PQBP1	Hs.534384
10085_at	EDIL3	Hs.482730
10086_at	HHLA1	Hs.285026
10087_at	COL4A3BP	Hs.270437
10089_at	KCNK7	Hs.175218
1009_at	CDH11	Hs.116471
10090_at	UST	Hs.657370
10092_at	ARPC5	Hs.518609
10093_at	ARPC4	Hs.323342
10095_at	ARPC1B	Hs.489284
10096_at	ACTR3	Hs.433512
10097_at	ACTR2	Hs.643727; Hs.719274
10098_at	TSPAN5	Hs.591706
10099_at	TSPAN3	Hs.5062; Hs.716484
101_at	ADAM8	Hs.501574
1010_at	CDH12	Hs.113684
10100_at	TSPAN2	Hs.310458
10101_at	NUBP2	Hs.256549
10102_at	TSFM	Hs.632704
10103_at	TSPAN1	Hs.38972
10105_at	PPIF	Hs.381072
10106_at	CTDSP2	Hs.524530
10107_at	TRIM10	Hs.709483
