ID	GSM597452	GSM597453	GSM597454	GSM597469	GSM597470	
Label	P	P	P	NP	NP	
1510_at	5.7	5.3	5.8	6.2	5.4	
151112_at	4.3	4.7	4.8	4.6	4.7	
151121_at	9.2	7.8	11.4	12.6	10.9	
151126_at	12.3	7.1	6.9	6.9	4.8	
151174_at	48.5	50.9	50.6	52.1	54.0	
151188_at	360.5	305.8	537.1	412.8	490.4	
151194_at	82.6	61.5	153.8	58.4	28.6	
151195_at	226.3	215.3	166.7	291.8	419.3	
1511_at	890.0	638.3	186.5	236.3	217.1	
151230_at	10.0	12.8	8.7	9.2	10.8	
151242_at	288.5	387.0	342.8	168.0	159.0	
151246_at	47.7	31.6	50.1	55.1	60.7	
151254_at	12.1	11.2	12.5	19.2	15.6	
151258_at	21.9	14.1	29.1	27.3	12.0	
151278_at	5.9	6.2	7.8	8.6	8.3	
151295_at	15.8	26.3	33.8	29.3	54.1	
1512_at	4032.1	3329.0	2892.6	2853.9	2455.2	
151306_at	138.0	119.8	86.7	527.4	432.3	
151354_at	10.2	12.4	10.8	9.9	11.1	
151393_at	11.8	10.6	15.1	12.5	12.0	
1513_at	3470.1	2650.3	2386.3	3327.4	2295.4	
151473_at	510.1	435.1	473.2	543.2	594.5	
151477_at	42.0	36.2	50.1	21.5	26.3	
1514_at	2142.4	1557.0	1830.0	2019.3	1680.4	
151516_at	224.4	220.7	211.6	183.5	176.5	
151525_at	798.9	786.0	1127.1	949.9	896.7	
151531_at	5.7	6.3	7.2	6.6	6.0	
151534_at	234.1	188.5	119.9	106.7	156.1	
151556_at	150.5	150.3	230.1	98.2	139.5	
1515_at	22.6	21.4	23.1	30.1	18.6	
151613_at	200.7	260.3	394.2	314.2	310.8	
151647_at	4.9	3.8	4.4	4.7	4.7	
151648_at	6.0	5.6	7.1	8.3	5.6	
151649_at	3.8	3.8	4.3	5.9	3.9	
151651_at	45.0	196.7	308.3	262.5	293.6	
151742_at	9.7	11.4	12.9	13.8	26.2	
151760_at	5.6	6.4	7.6	7.0	6.9	
151790_at	4.2	4.1	4.2	4.9	4.7	
151827_at	140.1	154.7	230.3	194.7	188.4	
151835_at	14.9	12.6	17.4	15.8	19.3	
151871_at	40.4	38.5	42.5	42.8	47.9	
151887_at	3936.1	3064.0	1587.5	4364.8	2350.3	
151888_at	28.1	23.2	31.4	51.8	57.7	
151903_at	1214.7	1231.1	1134.5	1037.3	1129.7	
151963_at	936.3	795.1	904.1	487.6	616.1	
151987_at	166.3	222.7	280.9	182.3	188.5	
1519_at	1125.4	859.3	577.2	555.8	641.5	
151_at	38.8	36.0	36.1	42.9	47.5	
152002_at	545.6	408.8	361.7	497.5	389.1	
152006_at	441.0	381.8	466.0	385.1	418.3	
152007_at	345.1	217.2	221.7	343.7	305.5	
152065_at	11.2	13.1	9.8	10.9	12.7	
152084_at	42.7	90.7	47.4	66.2	29.1	
