ID	ORF	UniGeneHsID	GSM597452	GSM597453	GSM597454	GSM597469	GSM597470	
Label			P	P	P	NP	NP	
100129087_at	NA	NA	17.6	17.1	20.1	22.6	23.9	
100129098_at	LOC100129098	Hs.277215	21.9	21.1	12.1	18.3	18.2	
100129104_at	LOC100129104	Hs.598335; Hs.710138	13.3	20.2	19.3	22.7	14.9	
100129105_at	NA	NA	182.6	212.2	127.0	181.3	209.9	
100129122_at	LOC100129122	NA	106.6	166.9	138.4	119.5	135.4	
100129128_at	RP11-257K9.7	Hs.663639	11.0	13.8	21.3	23.6	34.9	
100129129_at	LOC100129129	Hs.662094	5.6	5.9	8.2	6.2	6.2	
100129175_at	LOC100129175	Hs.603701	12.1	12.3	13.1	14.5	15.5	
100129194_at	LOC100129194	NA	15.5	19.3	17.4	15.1	15.8	
100129195_at	LOC100129195	Hs.659413	62.5	64.1	91.9	68.1	61.4	
100129250_at	LOC100129250	Hs.664395	390.5	405.4	341.6	310.8	324.1	
100129268_at	LOC100129268	NA	45.2	56.8	62.2	53.6	57.7	
100129271_at	C1orf68	Hs.601077	30.0	31.0	29.1	22.5	28.2	
100129289_at	NA	NA	13.8	19.8	32.7	8.7	11.2	
100129335_at	LOC100129335	NA	8.0	12.6	10.3	11.9	9.9	
100129346_at	NA	NA	276.2	364.0	528.9	279.4	398.0	
100129361_at	LOC100129361	NA	1671.9	2061.7	1086.6	1462.0	1506.0	
100129387_at	LOC100129387	Hs.659360	236.4	241.4	176.1	163.5	141.2	
100129410_at	LOC100129410	NA	13.2	10.1	9.3	12.5	8.7	
100129441_at	NA	NA	33.0	34.8	47.1	18.1	28.4	
100129476_at	LOC100129476	Hs.599645	13.0	13.7	14.3	16.9	15.7	
100129482_at	ZNF37B	Hs.646695; Hs.648656; Hs.650553; Hs.684178	372.2	478.5	745.3	534.6	684.3	
100129500_at	LOC100129500	NA	49.9	20.0	26.1	134.9	82.4	
100129502_at	LOC100129502	Hs.709285	1386.5	1072.9	1147.7	1416.3	1379.8	
100129503_at	LOC100129503	Hs.675838	17.0	11.3	16.1	16.4	9.6	
100129516_at	LOC100129516	NA	11.9	16.8	11.0	11.9	12.5	
100129546_at	NA	NA	10.8	11.4	8.1	14.3	9.1	
100129562_at	NA	NA	16.8	24.7	17.6	16.3	18.8	
100129563_at	NA	NA	392.0	388.1	480.7	507.7	506.5	
100129592_at	NA	NA	23.2	22.0	28.8	27.9	29.1	
